,message_length,summary
0,136,There was no mention of any injuries associated with the car accident.
1,33,fake-injuries: No injuries were described during the call.
2,50,fake-injuries: No injuries were described during the conversation.
3,71,fake-injuries: No injuries reported.
4,90,"collision - slight injury to the rib tape, no other injuries reported."
5,95,fake-injuries. No injuries were described during the conversation.
6,67,fake-injuries: No injuries were reported in the conversation.
7,125,fake-injuries. No injuries were described in the conversation.
8,107,fake-injuries: No injuries were described during the call.
9,45,fake-injuries: No injuries were described during the conversation.
10,24,"collision - injuries include whiplash, back pain, and bruising. MRI and CT scans were performed. Stitches were required for a cut."
11,98,fake-injuries: No injuries were described during the call.
12,70,fake-injuries: No injuries were described during the call.
13,201,fake-injuries: No injuries were described during the call.
14,61,[fake-injuries] No injuries were described during the conversation.
15,103,fake-injuries: No injuries were described during the call.
16,305,collision: No injuries were reported from the car accident.
17,106,fake-injuries: No injuries were described during the call.
18,88,collision - The caller's daughter was involved in a car accident and is currently experiencing medical issues. No specific injuries were mentioned.
19,84,fake-injuries: No injuries were described during the conversation.
20,16,fake-injuries: No injuries were described.
21,125,"collision - Neck injury for the granddaughter, no hospitalization needed. No other injuries were reported."
22,114,"fake-injuries: No injuries were described, but the caller mentioned a homeless man damaging the car while they were eating dinner."
23,41,"fake-injuries: No injuries were described, but the caller mentioned a homeless man damaging the car while they were eating dinner."
24,41,fake-injuries: No injuries were described during the conversation.
25,45,fake-injuries: No injuries were described during the conversation.
26,37,fake-injuries: No injuries were described during the call.
27,122,fake-injuries: No injuries were described in this conversation.
28,215,No injuries were mentioned during the conversation.
29,183,other - No injuries reported. The vehicle caught fire and was completely destroyed. Some personal property was also lost in the fire.
30,78,fake-injuries. No injuries were described during the call.
31,64,fake-injuries: No injuries were described during the call.
32,20,(fake-injuries) No injuries were described during the call.
33,119,"collision - No injuries reported. Vehicle sustained damage to the undercarriage, radiator, and front bumper. No fluid leaking."
34,72,fake-injuries: No injuries were described during the call.
35,101,collision. No injuries reported.
36,79,fake-injuries: No injuries were described during the conversation.
37,94,fake-injuries: None were described during the conversation.
38,73,fake-injuries: No injuries were described during the call.
39,61,fake-injuries: No injuries were described during the call.
40,152,collision - one passenger has a limp on his leg and the driver has a neck injury. The driver's arm is burnt by the airbags.
41,13,"(fake-injuries) No injuries were described during the call. However, potential injuries from a car accident could include whiplash, broken bones, concussions, lacerations, and internal bleeding."
42,102,fake-injuries: No injuries were described during the conversation.
43,83,collision - Both parties suffered lower back pain and one passenger had tingling in their right arm. They plan to see a doctor.
44,26,fake-injuries: No injuries were described during the conversation.
45,37,"fake-injuries: potential whiplash, back pain, and minor cuts and bruises."
46,21,fake-injuries: No injuries were described.
47,49,fake-injuries: No injuries were described.
48,104,fake-injuries. No injuries were described during the conversation.
49,38,fake-injuries: No injuries were described during the call.
50,12,"collision - driver sustained whiplash, bruising, and airbag burn; passenger had a CT scan for head injury."
51,47,fake-injuries: No injuries were described during the call.
52,209,collision: No injuries were reported.
53,159,fake-injuries. No injuries were described during the call.
54,150,There were no injuries reported in any of the accidents discussed during the call.
55,54,fake-injuries: No injuries were described during the conversation.
56,232,"collision - injuries include neck, back, left side, hip bones, arms, and back pain. Currently at the hospital."
57,73,"collision - injuries include neck, back, left side, hip bones, arms, and back pain. Currently at the hospital."
58,36,fake-injuries: No injuries were described in the conversation.
59,102,There was no information provided regarding injuries associated with the car accidents.
60,52,fake-injuries: No injuries were described during the call.
61,191,fake-injuries: No injuries were described during the call.
62,32,fake-injuries: No injuries were described during the call.
63,17,Tag: fake-injuries. No injuries were described during the call.
64,18,fake-injuries: No injuries were described in the conversation.
65,62,fake-injuries: No injuries were described during the call.
66,129,fake-injuries. No injuries were described during the call.
67,48,fake-injuries: No injuries were described during the call.
68,17,fake-injuries: No injuries were described during the call.
69,75,fake-injuries: No injuries were described during the conversation.
70,69,fake-injuries: No injuries were reported in the car accident.
71,15,(fake-injuries) No injuries were described.
72,101,collision - Wife suffered injuries and was taken to Delray Medical Hospital for X-rays due to pain. No further details provided.
73,57,fake-injuries: No injuries were described during the conversation.
74,37,fake-injuries: No injuries were described during the conversation.
75,27,(fake-injuries) No injuries were described during the call.
76,23,(fake-injuries) No injuries were described during the call.
77,27,fake-injuries: No injuries were described in the conversation.
78,37,fake-injuries: No injuries were described during the call.
79,163,fake-injuries. No injuries were described during the call.
80,49,fake-injuries: No injuries were described during the call.
81,24,fake-injuries: No injuries reported.
82,65,"collision, insured [PII] was injured and received treatment. No further details were provided."
83,20,fake-injuries: No injuries were described during the call.
84,13,"collision - driver had MRI for head injury, passenger had stitches for laceration, both had bruising and airbag burns."
85,128,fake-injuries: No injuries were reported in the car accident.
86,27,fake-injuries: No injuries were described during the call.
87,26,fake-injuries: No injuries were described during the conversation.
88,37,fake-injuries: No injuries were described during the conversation.
89,198,No injuries reported in the accident.
90,31,(fake-injuries) No injuries were described during the conversation.
91,135,collision - no injuries reported.
92,28,"fake-injuries: No injuries were described. However, potential injuries from the car accident could include whiplash, broken bones, cuts, bruises, and head trauma."
93,297,fake-injuries: No injuries were described during the call.
94,32,fake-injuries: No injuries were described during the conversation.
95,97,fake-injuries: No injuries reported.
96,18,fake-injuries: No injuries were described during the call.
97,39,No injuries were reported in the call.
98,38,fake-injuries: No injuries were described during the conversation.
99,119,fake-injuries. No injuries were reported in the car accident.
100,44,This conversation did not mention any injuries related to a car accident.
101,71,collision. No injuries were mentioned during the call.
102,192,fake-injuries: No injuries were reported in the car accident.
103,27,fake-injuries. No injuries were described.
104,21,(fake-injuries) No injuries were described during the conversation.
105,39,fake-injuries: No injuries were described.
106,130,Other. No injuries were described.
107,33,No injuries were described during the conversation.
108,25,fake-injuries: No injuries were described during the conversation.
109,43,fake-injuries: No injuries were described during the conversation.
110,28,fake-injuries: No injuries were described during the conversation.
111,29,fake-injuries: No injuries were described during the conversation.
112,20,fake-injuries: No injuries were described during the call.
113,54,fake-injuries: No injuries were described during the call.
114,19,(fake-injuries) Potential injuries were not described during the conversation.
115,57,fake-injuries: No injuries were described during the conversation.
